slug,score,flicker,flicker_per_frame,friend_false_blur_rate,stranger_false_clear_rate,friend_frames,stranger_frames,cfg_similarity_allow,cfg_similarity_blur,cfg_instant_allow,cfg_sim_ema_alpha,cfg_detect_every,cfg_min_face_px,cfg_min_det_score,cfg_max_missed,cfg_allow_votes,cfg_vote_window,cfg_iou_match,cfg_blur_kernel,cfg_bbox_pad
allow0.34_blur0.28_det2_votes1w5_miss12,0.05,4.0,0.016666666666666666,0.0,0.0,441.0,691.0,0.34,0.28,0.5,0.45,2,36,0.45,12,1,5,0.25,95,0.18
allow0.36_blur0.30_det2_votes1w5_miss10,0.05,4.0,0.016666666666666666,0.0,0.0,423.0,630.0,0.36,0.3,0.52,0.45,2,36,0.45,10,1,5,0.25,95,0.18
allow0.36_blur0.28_det2_votes1w7_miss12,0.05,4.0,0.016666666666666666,0.0,0.0,435.0,691.0,0.36,0.28,0.55,0.45,2,36,0.45,12,1,7,0.25,95,0.18
allow0.38_blur0.30_det2_votes2w5_miss10,0.05,4.0,0.016666666666666666,0.0,0.0,411.0,630.0,0.38,0.3,0.55,0.45,2,36,0.45,10,2,5,0.25,95,0.18
allow0.35_blur0.29_det2_votes1w7_miss14,0.05,4.0,0.016666666666666666,0.0,0.0,451.0,750.0,0.35,0.29,0.5,0.35,2,36,0.45,14,1,7,0.25,95,0.18
allow0.34_blur0.28_det2_votes1w5_miss10,0.05,4.0,0.016666666666666666,0.0,0.0,429.0,630.0,0.34,0.28,0.5,0.45,2,36,0.45,10,1,5,0.25,95,0.18
allow0.34_blur0.28_det2_votes1w7_miss10,0.05,4.0,0.016666666666666666,0.0,0.0,429.0,630.0,0.34,0.28,0.5,0.45,2,36,0.45,10,1,7,0.25,95,0.18
allow0.34_blur0.28_det2_votes1w7_miss12,0.05,4.0,0.016666666666666666,0.0,0.0,441.0,691.0,0.34,0.28,0.5,0.45,2,36,0.45,12,1,7,0.25,95,0.18
allow0.34_blur0.28_det2_votes2w5_miss10,0.05,4.0,0.016666666666666666,0.0,0.0,429.0,630.0,0.34,0.28,0.5,0.45,2,36,0.45,10,2,5,0.25,95,0.18
allow0.34_blur0.28_det2_votes2w5_miss12,0.05,4.0,0.016666666666666666,0.0,0.0,441.0,691.0,0.34,0.28,0.5,0.45,2,36,0.45,12,2,5,0.25,95,0.18
allow0.36_blur0.30_det2_votes1w5_miss12,0.05,4.0,0.016666666666666666,0.0,0.0,435.0,691.0,0.36,0.3,0.5,0.45,2,36,0.45,12,1,5,0.25,95,0.18
allow0.36_blur0.30_det2_votes1w7_miss10,0.05,4.0,0.016666666666666666,0.0,0.0,423.0,630.0,0.36,0.3,0.5,0.45,2,36,0.45,10,1,7,0.25,95,0.18
allow0.36_blur0.30_det2_votes1w7_miss12,0.05,4.0,0.016666666666666666,0.0,0.0,435.0,691.0,0.36,0.3,0.5,0.45,2,36,0.45,12,1,7,0.25,95,0.18
allow0.36_blur0.30_det2_votes2w5_miss10,0.05,4.0,0.016666666666666666,0.0,0.0,423.0,630.0,0.36,0.3,0.5,0.45,2,36,0.45,10,2,5,0.25,95,0.18
allow0.36_blur0.30_det2_votes2w5_miss12,0.05,4.0,0.016666666666666666,0.0,0.0,435.0,691.0,0.36,0.3,0.5,0.45,2,36,0.45,12,2,5,0.25,95,0.18
allow0.37_blur0.31_det2_votes2w7_miss12,0.06154401154401155,4.0,0.016666666666666666,0.0,0.002886002886002886,433.0,693.0,0.37,0.31,0.54,0.4,2,36,0.45,12,2,7,0.25,95,0.18
allow0.38_blur0.32_det2_votes1w5_miss10,0.07500000000000001,6.0,0.025,0.0,0.0,411.0,634.0,0.38,0.32,0.5,0.45,2,36,0.45,10,1,5,0.25,95,0.18
allow0.38_blur0.32_det2_votes1w5_miss12,0.07500000000000001,6.0,0.025,0.0,0.0,423.0,695.0,0.38,0.32,0.5,0.45,2,36,0.45,12,1,5,0.25,95,0.18
allow0.38_blur0.32_det2_votes1w7_miss10,0.07500000000000001,6.0,0.025,0.0,0.0,411.0,634.0,0.38,0.32,0.5,0.45,2,36,0.45,10,1,7,0.25,95,0.18
allow0.38_blur0.32_det2_votes1w7_miss12,0.07500000000000001,6.0,0.025,0.0,0.0,423.0,695.0,0.38,0.32,0.5,0.45,2,36,0.45,12,1,7,0.25,95,0.18
allow0.38_blur0.32_det2_votes2w5_miss10,0.07500000000000001,6.0,0.025,0.0,0.0,411.0,634.0,0.38,0.32,0.5,0.45,2,36,0.45,10,2,5,0.25,95,0.18
allow0.38_blur0.32_det2_votes2w5_miss12,0.07500000000000001,6.0,0.025,0.0,0.0,423.0,695.0,0.38,0.32,0.5,0.45,2,36,0.45,12,2,5,0.25,95,0.18
allow0.40_blur0.32_det3_votes2w5_miss8,0.27499999999999997,22.0,0.09166666666666666,0.0,0.0,542.0,689.0,0.4,0.32,0.6,0.45,3,36,0.45,8,2,5,0.25,95,0.18
allow0.38_blur0.32_det3_votes1w5_miss10,0.28750000000000003,23.0,0.09583333333333334,0.0,0.0,630.0,802.0,0.38,0.32,0.58,0.45,3,36,0.45,10,1,5,0.25,95,0.18
allow0.38_blur0.32_det3_votes1w5_miss12,0.28750000000000003,23.0,0.09583333333333334,0.0,0.0,693.0,913.0,0.38,0.32,0.5,0.45,3,36,0.45,12,1,5,0.25,95,0.18
allow0.38_blur0.32_det3_votes1w7_miss10,0.28750000000000003,23.0,0.09583333333333334,0.0,0.0,630.0,802.0,0.38,0.32,0.5,0.45,3,36,0.45,10,1,7,0.25,95,0.18
allow0.38_blur0.32_det3_votes1w7_miss12,0.28750000000000003,23.0,0.09583333333333334,0.0,0.0,693.0,913.0,0.38,0.32,0.5,0.45,3,36,0.45,12,1,7,0.25,95,0.18
allow0.38_blur0.32_det3_votes2w5_miss10,0.28750000000000003,23.0,0.09583333333333334,0.0,0.0,630.0,802.0,0.38,0.32,0.5,0.45,3,36,0.45,10,2,5,0.25,95,0.18
allow0.38_blur0.32_det3_votes2w5_miss12,0.28750000000000003,23.0,0.09583333333333334,0.0,0.0,693.0,913.0,0.38,0.32,0.5,0.45,3,36,0.45,12,2,5,0.25,95,0.18
allow0.34_blur0.28_det3_votes1w5_miss10,0.30000000000000004,24.0,0.1,0.0,0.0,661.0,802.0,0.34,0.28,0.5,0.45,3,36,0.45,10,1,5,0.25,95,0.18
allow0.34_blur0.28_det3_votes1w5_miss12,0.30000000000000004,24.0,0.1,0.0,0.0,727.0,913.0,0.34,0.28,0.5,0.45,3,36,0.45,12,1,5,0.25,95,0.18
allow0.34_blur0.28_det3_votes1w7_miss10,0.30000000000000004,24.0,0.1,0.0,0.0,661.0,802.0,0.34,0.28,0.5,0.45,3,36,0.45,10,1,7,0.25,95,0.18
allow0.34_blur0.28_det3_votes1w7_miss12,0.30000000000000004,24.0,0.1,0.0,0.0,727.0,913.0,0.34,0.28,0.5,0.45,3,36,0.45,12,1,7,0.25,95,0.18
allow0.34_blur0.28_det3_votes2w5_miss10,0.30000000000000004,24.0,0.1,0.0,0.0,661.0,802.0,0.34,0.28,0.5,0.45,3,36,0.45,10,2,5,0.25,95,0.18
allow0.34_blur0.28_det3_votes2w5_miss12,0.30000000000000004,24.0,0.1,0.0,0.0,727.0,913.0,0.34,0.28,0.5,0.45,3,36,0.45,12,2,5,0.25,95,0.18
allow0.36_blur0.30_det3_votes1w5_miss10,0.30000000000000004,24.0,0.1,0.0,0.0,658.0,802.0,0.36,0.3,0.5,0.45,3,36,0.45,10,1,5,0.25,95,0.18
allow0.36_blur0.30_det3_votes1w5_miss12,0.30000000000000004,24.0,0.1,0.0,0.0,724.0,913.0,0.36,0.3,0.5,0.45,3,36,0.45,12,1,5,0.25,95,0.18
allow0.36_blur0.30_det3_votes1w7_miss10,0.30000000000000004,24.0,0.1,0.0,0.0,658.0,802.0,0.36,0.3,0.5,0.45,3,36,0.45,10,1,7,0.25,95,0.18
allow0.36_blur0.30_det3_votes1w7_miss12,0.30000000000000004,24.0,0.1,0.0,0.0,724.0,913.0,0.36,0.3,0.5,0.45,3,36,0.45,12,1,7,0.25,95,0.18
allow0.36_blur0.30_det3_votes2w5_miss10,0.30000000000000004,24.0,0.1,0.0,0.0,658.0,802.0,0.36,0.3,0.5,0.45,3,36,0.45,10,2,5,0.25,95,0.18
allow0.36_blur0.30_det3_votes2w5_miss12,0.30000000000000004,24.0,0.1,0.0,0.0,724.0,913.0,0.36,0.3,0.5,0.45,3,36,0.45,12,2,5,0.25,95,0.18
